product_name,price,stock_quantity
'The Dude''s Signature Bowling Ball',99.99,20
'Walter''s Shomer Shabbos Ball Cleaner',14.99,50
'Donny''s ''Am I Wrong?'' Bowling Shoes',69.99,15
'The Rug That Ties the Lane Together',129.99,10
'The Marmot Ball Bag',34.99,25
'Jackie Treehorn''s Lane Lubricant',22.49,30
'Mark It Zero Scorebook',9.99,40
'The Nihilist Wrist Guard',19.99,35
'Over the Line! Foul Line Tape',8.99,45
'The Big Lebowski Pin Set',54.99,20
'Dude''s Bowling Robe',79.99,12
'Walter''s Dog Carrier',39.99,18
'''Shut Up Donny!'' Earplugs',5.99,60
'Gutterball Recovery Kit',24.99,22
'Jeffrey''s White Russian Flask',29.99,15
